dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
46.74305555555557,0.5488590061311772,1,5,50,48.00302543282076,26.346892830347628,4514.596083782044
42.916666666666664,0.2651480945652802,1,6,50,47.410968818004655,12.57092804358785,4527.167011825632
39.08333333333333,0.20287252544666418,1,1,50,46.39615261336389,9.41250465168198,4536.5795164773135
45.74305555555557,0.18295300204372572,1,5,50,46.27731324665307,8.466573384993055,4545.046089862307
41.916666666666664,0.5302961891305604,1,6,50,45.51847522016877,24.138273944289345,4569.184363806597
38.083333333333336,0.20287252544666418,1,1,50,44.80661697480901,9.090031542400876,4578.274395348997
41.15,11.718559794426707,1,7,50,44.10351381455859,516.8296637802291,5095.104059129226
25.632352941176485,0.7290620476353927,1,3,50,42.53164225223979,31.008206189713928,5126.1122653189395
39.916666666666664,0.2651480945652802,1,6,50,41.89304453059851,11.107860932826629,5137.2201262517665
42.74305555555557,0.18295300204372572,1,5,50,41.48858531103528,7.590461233201126,5144.810587484968
35.08333333333333,0.20287252544666418,1,1,50,40.27022544764274,8.169722336869805,5152.980309821838
38.91666666666667,0.2651480945652802,1,6,50,40.160420780889844,10.648459046992825,5163.628768868831
40.74305555555557,0.18295300204372572,1,5,50,38.60600086808405,7.063083755718659,5170.691852624549
33.08333333333333,0.20287252544666418,1,1,50,37.43958962737643,7.595464099392588,5178.287316723941
32.08333333333333,0.20287252544666418,1,1,50,36.08199959488203,7.320046380979231,5185.60736310492
35.91666666666667,0.2651480945652802,1,6,50,35.28168997171038,9.354872869041962,5194.962235973962
31.08333333333333,0.20287252544666418,1,1,50,34.76257581051357,7.052371545710006,5202.014607519673
35.125,14.797129293631379,1,7,50,34.07328988388608,504.18687587124447,5706.201483390917
34.91666666666667,0.2651480945652802,1,6,50,33.76070921372077,8.951587719190563,5715.153071110108
20.419117647058833,15.049360220674627,1,3,50,33.23534710920263,500.1707107055475,6215.323781815655
32.91666666666667,0.2651480945652802,1,6,50,30.873413589150168,8.186026785888997,6223.509808601544
18.705882352941185,15.532508089413621,1,3,50,30.35050922653383,471.4195300789595,6694.929338680504
27.124999999999996,1.189791648914794,1,1,50,29.907455938606347,35.58364131604099,6730.512979996545
16.992647058823536,16.031167040327812,1,3,50,27.55375736741599,441.71888694570885,7172.231866942254
24.666666666666664,1.3955602560875608,1,1,50,27.17863288433669,37.92941986817471,7210.1612868104285
15.27941176470589,16.545835044505996,1,3,50,24.846668150816733,411.1088726289945,7621.270159439423
22.208333333333332,1.6369155306709111,1,1,50,24.65927671048405,40.36515302250284,7661.635312461925
27.875000000000004,10.597604404282453,1,6,50,24.47237399572774,259.34853844037167,7920.9838509022975
19.875000000000004,0.14015663615038584,1,2,50,22.45303209777793,3.146941450201196,7924.130792352498
19.75,1.9200120115655634,1,1,50,22.33975160912663,42.89259142491425,7967.023383777412
13.56617647058824,17.077026060006965,1,3,50,22.230358029672086,379.6284033959953,8346.651787173407
25.333333333333336,12.102047487709717,1,6,50,21.69172686123615,262.5143085651083,8609.166095738516
17.937500000000004,2.0437861830779704,1,2,50,20.751515465726204,42.41166058678003,8651.577756325296
17.291666666666668,2.252068634870306,1,1,50,20.209654872743567,45.513529860459634,8697.091286185756
11.852941176470592,17.625270545108588,1,3,50,19.705505163662515,347.3148597375861,9044.406145923342
16.500000000000004,2.487563021435442,1,2,50,19.56223015757776,48.662280356799656,9093.06842628014
22.791666666666668,13.820062328010403,1,6,50,19.185950681280872,265.1510342374353,9358.2194605175755
15.062500000000002,3.0276991971312075,1,2,50,18.432776427131994,55.80890238932658,9414.028362906902
14.833333333333336,2.6415528161363353,1,1,50,18.258099832589988,48.229735030076434,9462.258097936978
10.32687165775401,18.43952765355184,1,3,50,17.53372419033153,323.31359207736904,9785.571690014347
10.233288770053477,0.28531416568112977,1,3,50,17.40291248886116,4.965297457181135,9790.536987471529
13.625000000000002,3.6851176630770084,1,2,50,17.36092367885384,63.97704649627617,9854.514033967806
20.2525641025641,3.061210069371141,1,6,50,16.937569145254344,51.849457218122545,9906.363491185928
20.2525641025641,5.528332195196233,1,6,50,16.937569145254344,93.63650881407193,10000
20.2525641025641,3.189316445837573,2,6,50,16.937569145254344,54.01926782747072,10054.01926782747
20.25,5.268254054623676,2,6,50,16.93542067616282,89.22009864395241,10143.239366471424
12.187500000000002,4.485284470659932,2,2,50,16.344435823733512,73.3094441818898,10216.548810653314
11.902777777777779,3.2103399267180315,2,1,50,16.149477437788182,51.845312214163414,10268.394122867478
7.47614823837611,0.246550685012779,2,4,50,15.291128427432055,3.770038188401751,10272.16416105588
7.19489823837611,0.52380717143381506,2,4,50,15.215769895837255,7.970129390326307,10280.134290446207
8.613636363636362,19.33031022937766,2,3,50,15.182203610407718,293.47670575475877,10573.610996200965
6.96875,0.012796270819304612,2,4,50,15.155986538012844,0.1939401082741473,10573.80493630924
6.91364823837611,1.1128500934048227,2,4,50,15.141528634900718,16.850251555641062,10590.65518786488
6.6875,0.02718620888201387,2,4,50,15.08263214249909,0.41003958791655665,10591.065227452797
